"","samples","ds","alphalogodds"
"1",10,0.2,0.881761869232475
"2",20,0.2,1.12886182161849
"3",30,0.2,1.28325699797352
"4",40,0.2,1.39893150732252
"5",50,0.2,1.49239315921545
"6",60,0.2,1.57119321273311
"7",70,0.2,1.63949888289326
"8",80,0.2,1.69988205758915
"9",90,0.2,1.75404407540168
"10",100,0.2,1.80319073022742
"11",110,0.2,1.84819540114519
"12",120,0.2,1.88971882617959
"13",130,0.2,1.92827417748105
"14",140,0.2,1.96426189889782
"15",150,0.2,1.99801267907484
"16",160,0.2,2.029791817869
"17",170,0.2,2.05982081738186
"18",180,0.2,2.08828481269311
"19",190,0.2,2.11534112286397
"20",200,0.2,2.14112412737163
"21",210,0.2,2.16574966422527
"22",220,0.2,2.18932167496247
"23",230,0.2,2.21192095493935
"24",240,0.2,2.23362860736692
"25",250,0.2,2.25451318695881
"26",260,0.2,2.27463500112578
"27",270,0.2,2.29404561479534
"28",280,0.2,2.31279832800035
"29",290,0.2,2.33093376771448
"30",300,0.2,2.34849338207055
"31",10,0.225,0.845208323528129
"32",20,0.225,1.09230827591414
"33",30,0.225,1.24670345226917
"34",40,0.225,1.36237796161818
"35",50,0.225,1.4558396135111
"36",60,0.225,1.53463966702877
"37",70,0.225,1.60294533718891
"38",80,0.225,1.66332851188481
"39",90,0.225,1.71749052969733
"40",100,0.225,1.76663718452307
"41",110,0.225,1.81164185544084
"42",120,0.225,1.85316528047525
"43",130,0.225,1.8917206317767
"44",140,0.225,1.92770835319348
"45",150,0.225,1.96145913337049
"46",160,0.225,1.99323827216465
"47",170,0.225,2.02326727167751
"48",180,0.225,2.05173126698876
"49",190,0.225,2.07878757715962
"50",200,0.225,2.10457058166728
"51",210,0.225,2.12919611852092
"52",220,0.225,2.15276812925812
"53",230,0.225,2.175367409235
"54",240,0.225,2.19707506166258
"55",250,0.225,2.21795964125447
"56",260,0.225,2.23808145542143
"57",270,0.225,2.257492069091
"58",280,0.225,2.276244782296
"59",290,0.225,2.29438022201014
"60",300,0.225,2.31193983636621
"61",10,0.25,0.804181112668819
"62",20,0.25,1.05128106505483
"63",30,0.25,1.20567624140986
"64",40,0.25,1.32135075075887
"65",50,0.25,1.4148124026518
"66",60,0.25,1.49361245616946
"67",70,0.25,1.5619181263296
"68",80,0.25,1.6223013010255
"69",90,0.25,1.67646331883802
"70",100,0.25,1.72560997366376
"71",110,0.25,1.77061464458153
"72",120,0.25,1.81213806961594
"73",130,0.25,1.85069342091739
"74",140,0.25,1.88668114233417
"75",150,0.25,1.92043192251118
"76",160,0.25,1.95221106130534
"77",170,0.25,1.9822400608182
"78",180,0.25,2.01070405612945
"79",190,0.25,2.03776036630031
"80",200,0.25,2.06354337080797
"81",210,0.25,2.08816890766161
"82",220,0.25,2.11174091839881
"83",230,0.25,2.13434019837569
"84",240,0.25,2.15604785080327
"85",250,0.25,2.17693243039516
"86",260,0.25,2.19705424456212
"87",270,0.25,2.21646485823169
"88",280,0.25,2.23521757143669
"89",290,0.25,2.25335301115083
"90",300,0.25,2.2709126255069
"91",10,0.275,0.756877780021008
"92",20,0.275,1.00397773240702
"93",30,0.275,1.15837290876205
"94",40,0.275,1.27404741811106
"95",50,0.275,1.36750907000398
"96",60,0.275,1.44630912352165
"97",70,0.275,1.51461479368179
"98",80,0.275,1.57499796837768
"99",90,0.275,1.62915998619021
"100",100,0.275,1.67830664101595
"101",110,0.275,1.72331131193372
"102",120,0.275,1.76483473696813
"103",130,0.275,1.80339008826958
"104",140,0.275,1.83937780968636
"105",150,0.275,1.87312858986337
"106",160,0.275,1.90490772865753
"107",170,0.275,1.93493672817039
"108",180,0.275,1.96340072348164
"109",190,0.275,1.9904570336525
"110",200,0.275,2.01624003816016
"111",210,0.275,2.0408655750138
"112",220,0.275,2.064437585751
"113",230,0.275,2.08703686572788
"114",240,0.275,2.10874451815546
"115",250,0.275,2.12962909774735
"116",260,0.275,2.14975091191431
"117",270,0.275,2.16916152558388
"118",280,0.275,2.18791423878888
"119",290,0.275,2.20604967850301
"120",300,0.275,2.22360929285909
"121",10,0.3,0.705979390165777
"122",20,0.3,0.95307934255179
"123",30,0.3,1.10747451890682
"124",40,0.3,1.22314902825583
"125",50,0.3,1.31661068014875
"126",60,0.3,1.39541073366641
"127",70,0.3,1.46371640382656
"128",80,0.3,1.52409957852245
"129",90,0.3,1.57826159633498
"130",100,0.3,1.62740825116072
"131",110,0.3,1.67241292207849
"132",120,0.3,1.71393634711289
"133",130,0.3,1.75249169841435
"134",140,0.3,1.78847941983112
"135",150,0.3,1.82223020000814
"136",160,0.3,1.8540093388023
"137",170,0.3,1.88403833831516
"138",180,0.3,1.91250233362641
"139",190,0.3,1.93955864379727
"140",200,0.3,1.96534164830493
"141",210,0.3,1.98996718515857
"142",220,0.3,2.01353919589577
"143",230,0.3,2.03613847587265
"144",240,0.3,2.05784612830022
"145",250,0.3,2.07873070789212
"146",260,0.3,2.09885252205908
"147",270,0.3,2.11826313572864
"148",280,0.3,2.13701584893365
"149",290,0.3,2.15515128864778
"150",300,0.3,2.17271090300386
"151",10,0.325,0.649275112705692
"152",20,0.325,0.896375065091705
"153",30,0.325,1.05077024144674
"154",40,0.325,1.16644475079574
"155",50,0.325,1.25990640268867
"156",60,0.325,1.33870645620633
"157",70,0.325,1.40701212636648
"158",80,0.325,1.46739530106237
"159",90,0.325,1.5215573188749
"160",100,0.325,1.57070397370064
"161",110,0.325,1.6157086446184
"162",120,0.325,1.65723206965281
"163",130,0.325,1.69578742095427
"164",140,0.325,1.73177514237104
"165",150,0.325,1.76552592254805
"166",160,0.325,1.79730506134222
"167",170,0.325,1.82733406085507
"168",180,0.325,1.85579805616632
